miRNA,gene,score
hsa-miR-125a-5p,RHOQ,0.86291667054072
hsa-miR-125a-5p,SBNO1,0.862810997671541
hsa-miR-125a-5p,MFHAS1,0.862060867591849
hsa-miR-125a-5p,KCNS3,0.861731851068164
hsa-miR-125a-5p,TOR2A,0.861280147147401
hsa-miR-125a-5p,ATP10D,0.861240983609833
hsa-miR-125a-5p,GTPBP2,0.860723885159506
hsa-miR-125a-5p,BAK1,0.860623547165972
hsa-miR-125a-5p,CCNJ,0.860506871566623
hsa-miR-125a-5p,LBH,0.859781656828376
hsa-miR-125a-5p,ENPEP,0.85873129075575
hsa-miR-125a-5p,NEU1,0.857693205442195
hsa-miR-125a-5p,ETS1,0.857503722945115
hsa-miR-125a-5p,TRIM71,0.856940766056718
hsa-miR-125a-5p,KCTD15,0.85691687368932
hsa-miR-125a-5p,KHNYN,0.856627886399512
hsa-miR-125a-5p,ABCC5,0.855582614954913
hsa-miR-125a-5p,MAP3K10,0.855405792697045
hsa-miR-125a-5p,DUS1L,0.854948568945931
hsa-miR-125a-5p,ORC2,0.854393049188566
hsa-miR-125a-5p,MYT1,0.852681834143163
hsa-miR-125a-5p,PODXL,0.851225291708988
hsa-miR-125a-5p,BAP1,0.851110526344407
hsa-miR-125a-5p,NIPAL4,0.850093416264875
hsa-miR-125a-5p,EVA1A,0.845944917179056
hsa-miR-125a-5p,ELOVL6,0.84502083879684
hsa-miR-125a-5p,UBN1,0.844711931567074
hsa-miR-125a-5p,NPL,0.844566498305227
hsa-miR-125a-5p,ABHD3,0.844273852684289
hsa-miR-125a-5p,BMF,0.844085728170792
hsa-miR-125a-5p,LIFR,0.84318468047823
hsa-miR-125a-5p,MAP3K11,0.842885570077504
hsa-miR-125a-5p,CDH5,0.841849915979555
hsa-miR-125a-5p,MTUS1,0.841748153816461
hsa-miR-125a-5p,TRIAP1,0.841624199581772
hsa-miR-125a-5p,OLFML2A,0.839589113080924
hsa-miR-125a-5p,PRDM1,0.83924951355417
hsa-miR-125a-5p,FBXW4,0.83807873210226
hsa-miR-125a-5p,UBE2G1,0.837380155328001
hsa-miR-125a-5p,NUP210,0.83737931458095
hsa-miR-125a-5p,CSNK2A1,0.837086385041541
hsa-miR-125a-5p,TBC1D1,0.83663104736974
hsa-miR-125a-5p,HIF1AN,0.836369240414497
hsa-miR-125a-5p,LCOR,0.835152862033167
hsa-miR-125a-5p,ABHD6,0.835079154185611
hsa-miR-125a-5p,KPNA6,0.833824981272807
hsa-miR-125a-5p,SLITRK6,0.833543248643108
hsa-miR-125a-5p,LIPA,0.833353204299268
hsa-miR-125a-5p,CGN,0.833164779447123
hsa-miR-125a-5p,FUT4,0.831518816680548
hsa-miR-125a-5p,SLC4A10,0.831407080598122
hsa-miR-125a-5p,ZNF704,0.830612537009367
hsa-miR-125a-5p,GJD3,0.830316985975234
hsa-miR-125a-5p,BRWD1,0.829676391326904
hsa-miR-125a-5p,SLC7A1,0.829622813552287
hsa-miR-125a-5p,PAFAH1B1,0.829443954193372
hsa-miR-125a-5p,AGGF1,0.827031096543401
hsa-miR-125a-5p,SUV39H1,0.826366487775198
hsa-miR-125a-5p,SLC25A15,0.823436151560527
hsa-miR-125a-5p,TRPS1,0.823411614248462
hsa-miR-125a-5p,CPSF6,0.823052471920635
hsa-miR-125a-5p,DRAM2,0.821643795739268
hsa-miR-125a-5p,WARS1,0.821464830102245
hsa-miR-125a-5p,MSI1,0.82141217776924
hsa-miR-125a-5p,DAZAP2,0.820409822922613
hsa-miR-125a-5p,TGOLN2,0.81989830036078
hsa-miR-125a-5p,RAPGEF5,0.819438731344489
hsa-miR-125a-5p,NKAPD1,0.818781770749135
hsa-miR-125a-5p,INO80D,0.81874894496442
hsa-miR-125a-5p,TMEM123,0.818662071649044
hsa-miR-125a-5p,SSTR3,0.818162560114726
hsa-miR-125a-5p,SOX11,0.81725556698163
hsa-miR-125a-5p,TAF9B,0.816573864637736
hsa-miR-125a-5p,PRRC1,0.816533971225124
hsa-miR-125a-5p,ZSCAN29,0.8158464867106
hsa-miR-125a-5p,SLC38A9,0.815461698322747
hsa-miR-125a-5p,DIS3L2,0.814976561399875
hsa-miR-125a-5p,GGA2,0.814834533754174
hsa-miR-125a-5p,ENPP1,0.814722616080323
hsa-miR-125a-5p,ESRRA,0.814646691796241
hsa-miR-125a-5p,RAB3D,0.814572297998048
hsa-miR-125a-5p,ITGA9,0.814371449872079
hsa-miR-125a-5p,MAMDC2,0.814149695995667
hsa-miR-125a-5p,MEGF9,0.814089181916296
hsa-miR-125a-5p,TMEM135,0.813531547049281
hsa-miR-125a-5p,FNDC3B,0.812661715554419
hsa-miR-125a-5p,USP37,0.812650282359219
hsa-miR-125a-5p,SANBR,0.812138062821744
hsa-miR-125a-5p,GALNT14,0.811619226677029
hsa-miR-125a-5p,MFN1,0.811555553811657
hsa-miR-125a-5p,OAZ2,0.811422311368706
hsa-miR-125a-5p,ANPEP,0.810789214716434
hsa-miR-125a-5p,LIN28B,0.81076357240328
hsa-miR-125a-5p,MAPRE2,0.810518683119202
hsa-miR-125a-5p,KCNK10,0.810485341213184
hsa-miR-125a-5p,TTPA,0.810162554939519
hsa-miR-125a-5p,ZFYVE1,0.809798375274913
hsa-miR-125a-5p,SMG1,0.809613292170528
hsa-miR-125a-5p,MCL1,0.808834294003955
hsa-miR-125a-5p,UBE2R2,0.807372869178145
hsa-miR-125a-5p,PPP2CA,0.807053208696851
hsa-miR-125a-5p,RBM7,0.806517049059611
hsa-miR-125a-5p,SULT4A1,0.805114763698376
hsa-miR-125a-5p,IL16,0.804229748854
hsa-miR-125a-5p,ADAM9,0.802204540840055
hsa-miR-125a-5p,PDE7A,0.801424719563164
hsa-miR-125a-5p,PELI2,0.801332534592414
hsa-miR-125a-5p,PPAT,0.800953296370643
hsa-miR-125a-5p,RETREG2,0.800881702182057
hsa-miR-125a-5p,SGPL1,0.800780736265647
hsa-miR-125a-5p,RFXANK,0.800687711339998
hsa-miR-125a-5p,ALPK3,0.800679192871918
hsa-miR-125a-5p,ARID3A,0.800443916258126
hsa-miR-125a-5p,C6orf47,0.800402141257597
hsa-miR-125a-5p,RAPGEFL1,0.800303160340181
hsa-miR-203a-3p,DUSP5,0.879295353499916
hsa-miR-203a-3p,PDE4D,0.872520948143908
hsa-miR-203a-3p,MBNL2,0.863294998497141
hsa-miR-203a-3p,VAPA,0.859431664020256
hsa-miR-203a-3p,MEF2C,0.85843773724312
hsa-miR-203a-3p,AFF4,0.854893903858629
hsa-miR-203a-3p,ELL2,0.851329008316102
hsa-miR-203a-3p,ZNF148,0.846066692363233
hsa-miR-203a-3p,UBR1,0.842946546979236
hsa-miR-203a-3p,MBNL1,0.842287751327175
hsa-miR-203a-3p,SP4,0.842104783786974
hsa-miR-203a-3p,PCBP2,0.839055388434486
hsa-miR-203a-3p,MEX3C,0.837964804701187
hsa-miR-203a-3p,KAT6B,0.832018040675515
hsa-miR-203a-3p,NEDD4L,0.831660480085842
hsa-miR-203a-3p,FAM126B,0.831600062598924
hsa-miR-203a-3p,CAB39,0.831136575482507
hsa-miR-203a-3p,RFX7,0.827912379420457
hsa-miR-203a-3p,GLCCI1,0.826446507956023
hsa-miR-203a-3p,DLG5,0.823736962960816
hsa-miR-203a-3p,ID4,0.823264398058603
hsa-miR-203a-3p,CREBZF,0.821427634319166
hsa-miR-203a-3p,ZNF292,0.820436842723755
